=== POKRYCIE: 151652/152666 = 99.34% | Brakuje: 1014 linii ===

=== GRUPA 1: Mają product_id, BRAK internal_sku (potrzebne mapowanie) ===
sku;asin;title;marketplace_id;brand;category;parent_asin;mapping_source;order_lines;total_revenue;currency;first_order;last_order
MAG_3253924839509;B0B58Z1QPX;Curver Trio V2 Abfalleimer 40L Treteimer Müllsortierung 3 Fächer Mülltrennsystem Abfalltrennsystem 3-Fach Inneneimer aus Kunststoff;A1PA6795UKMFR9;;;;spapi_ean_only;119;6467.83;EUR;2024-03-01 09:30:02+00:00;2026-03-02 19:15:50+00:00
MAG_5906638375129;B0G533M5N2;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Gold - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;22;341.05;EUR;2025-12-07 17:03:54+00:00;2026-02-23 18:34:53+00:00
MAG_5906638375426;B0G5874YZF;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Herz - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;19;436.57;EUR;2025-12-07 12:43:00+00:00;2026-02-28 10:06:51+00:00
MAG_5906638374474;B0G52XK5YH;KADAX 10er Set Mini Marmeladengläser 40 ml mit Schraubdeckel in Gold - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;18;292.40;EUR;2025-12-06 19:19:44+00:00;2026-03-02 09:26:18+00:00
MAG_5906638374191;B0G522YP63;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Herz - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;17;254.94;EUR;2025-12-08 10:11:24+00:00;2026-01-11 11:16:10+00:00
MAG_5906638374177;B0G52323R6;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Schwarz - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;15;270.50;EUR;2025-12-05 07:17:56+00:00;2026-01-20 12:04:43+00:00
MAG_5906638374184;B0G522S5BF;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Gold - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;15;239.38;EUR;2025-12-07 18:36:07+00:00;2025-12-26 11:48:24+00:00
MAG_3253924831640;B00O4BB2CQ;Curver Tier-Futter-Container 20kg, 54L Metallicfarben, schwarz/Silber, 49,3 x 27,8 x 60,5 cm, große luftdichte Aufbewahrung gegen Gerüche für Hundefutter - Behälter mit Rollen;APJ6JRA9NG5V4;;;;spapi_ean_only;13;683.40;EUR;2026-01-14 11:52:43+00:00;2026-03-02 19:28:50+00:00
64-9420-AFD2;B01EM4UJW8;KADAX schwarze Stretchfolie, 300x50cm Plastikfolie, 3kg Umzugsfolie, Palettenfolie für Möbel, Lager, Transport, widerstandsfähige Wickelfolie, Verpackungsfolie;A1PA6795UKMFR9;;;;spapi_ean_only;10;589.20;EUR;2025-12-10 07:08:09+00:00;2026-02-28 19:23:03+00:00
MAG_3253924831640;B00O4BB2CQ;Curver Tier-Futter-Container 20kg, 54L Metallicfarben, schwarz/Silber, 49,3 x 27,8 x 60,5 cm, große luftdichte Aufbewahrung gegen Gerüche für Hundefutter - Behälter mit Rollen;A1PA6795UKMFR9;;;;spapi_ean_only;8;385.26;EUR;2025-12-05 16:45:48+00:00;2025-12-28 19:14:06+00:00
MAG_5906638374290;B0G524YW2X;KADAX 10er Set Marmeladengläser 200 ml mit Schraubdeckel in Blaue Herzen - Dessertgläser & Vorratsgläser für Konfitüren, Chutneys, Pesto, Babybrei & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;8;127.08;EUR;2025-12-07 10:33:55+00:00;2025-12-14 07:15:53+00:00
MAG_5906638375136;B0G5322YT8;KADAX 10er Set Einmachgläser 300 ml mit Schraubdeckel in Herz - Luftdichte Vorratsgläser für Suppen, Saucen, Fleischgerichte, Chutneys & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;7;125.51;EUR;2025-12-09 00:25:04+00:00;2026-03-01 06:43:41+00:00
MAG_5906638374467;B0G52PW7FT;KADAX 10er Set Mini Marmeladengläser 40 ml mit Schraubdeckel in Schwarz - Probiergläser & Vorratsgläser für Honig, Konfitüren, Gewürze, Gastgeschenke & mehr;A1PA6795UKMFR9;;;B0G52N3936;spapi_ean_only;7;111.49;EUR;2025-12-07 10:45:28+00:00;2026-02-01 17:22:11+00:00
